index	original	background	difference
-----------------------------------------------------
1	3148	2270	878
2	2944	2116	828
3	2810	2044	766
4	2858	2105	753
5	2838	2099	739
6	2986	2188	798
7	3030	2181	849
8	3029	2211	818
9	2924	2187	737
10	2793	2005	788
11	2767	1971	796
12	2911	2099	812
13	3001	2229	772
14	3004	2194	810
15	2881	2039	842
16	3009	2140	869
17	3006	2176	830
18	2931	2107	824
19	2737	1926	811
20	2867	2002	865
21	3095	2159	936
22	2996	2077	919
23	2896	2013	883
24	2913	2131	782
25	2952	2168	784
26	2866	2058	808
27	2709	1903	806
28	2763	1972	791
29	2889	2072	817
30	2963	2063	900
31	2884	1997	887
32	2908	2089	819
33	2907	2100	807
34	2809	2012	797
35	2914	2087	827
36	3026	2155	871
37	3019	2153	866
38	2926	2068	858
39	2774	1954	820
40	2836	2025	811
41	2977	2114	863
42	2828	1998	830
43	2771	1945	826
44	2928	2051	877
45	3115	2199	916
46	3082	2142	940
47	2917	2041	876
48	2927	2047	880
49	3066	2151	915
50	3075	2186	889
51	2999	2143	856
52	3041	2127	914
53	3124	2234	890
54	2925	2052	873
55	2708	1875	833
56	2916	2058	858
57	3208	2280	928
58	2937	2054	883
59	2746	1922	824
60	2994	2063	931
61	3145	2243	902
62	3051	2164	887
63	2928	2021	907
64	3030	2109	921
65	3108	2182	926
66	3003	2090	913
67	2962	1992	970
68	3001	2051	950
69	2961	2063	898
70	2860	1976	884
71	2973	2063	910
72	3281	2306	975
73	3126	2208	918
74	2920	2047	873
75	2789	1906	883
76	2901	2013	888
77	3064	2144	920
78	3028	2082	946
79	3001	2072	929
80	3072	2128	944
81	3110	2190	920
82	2868	2011	857
83	2905	2009	896
84	3044	2097	947
85	3047	2181	866
86	2954	2098	856
87	2963	2044	919
88	3027	2110	917
89	3140	2187	953
90	3080	2098	982
91	3241	2177	1064
92	3316	2279	1037
93	3076	2130	946
94	2935	2024	911
95	2933	1960	973
96	3092	2140	952
97	3213	2264	949
98	3071	2123	948
99	2975	2050	925
100	2975	2087	888
101	3109	2148	961
102	3146	2098	1048
103	3045	2061	984
104	3240	2265	975
105	3321	2350	971
106	3147	2206	941
107	3015	2063	952
108	3087	2158	929
109	3219	2221	998
110	3064	2111	953
111	3188	2180	1008
112	3261	2219	1042
113	3158	2120	1038
114	3135	2096	1039
115	3081	2086	995
116	3081	2138	943
117	3234	2219	1015
118	3041	2070	971
119	2981	1995	986
120	3048	2083	965
121	3065	2129	936
122	3033	2053	980
123	2926	1936	990
124	2966	2038	928
125	3034	2099	935
126	3065	2078	987
127	3124	2113	1011
128	3419	2384	1035
129	3298	2322	976
130	3109	2133	976
131	2978	2017	961
132	3185	2189	996
133	3161	2193	968
134	2932	1992	940
135	2992	2010	982
136	3212	2176	1036
137	3292	2223	1069
138	3111	2091	1020
139	3083	2096	987
140	3085	2061	1024
141	3098	2109	989
142	3179	2162	1017
143	3161	2085	1076
144	3230	2154	1076
145	3197	2139	1058
146	3243	2160	1083
147	3156	2084	1072
148	3154	2075	1079
149	3350	2253	1097
150	3310	2220	1090
151	3099	2036	1063
152	3320	2212	1108
153	3424	2287	1137
154	3356	2212	1144
155	3225	2156	1069
156	3346	2290	1056
157	3245	2200	1045
158	3065	2042	1023
159	3042	2020	1022
160	3303	2178	1125
161	3374	2231	1143
162	3197	2099	1098
163	3173	2099	1074
164	3359	2268	1091
165	3385	2255	1130
166	3310	2151	1159
167	3205	2068	1137
168	3291	2150	1141
169	3345	2214	1131
170	3222	2131	1091
171	3297	2107	1190
172	3372	2198	1174
173	3338	2230	1108
174	3112	2057	1055
175	3164	2050	1114
176	3234	2112	1122
177	3251	2157	1094
178	3145	2075	1070
179	3219	2075	1144
180	3457	2265	1192
181	3423	2267	1156
182	3334	2185	1149
183	3111	1994	1117
184	3194	2102	1092
185	3267	2187	1080
186	3168	2071	1097
187	3125	1982	1143
188	3210	2081	1129
189	3350	2226	1124
190	3347	2222	1125
191	3329	2135	1194
192	3478	2245	1233
193	3479	2227	1252
194	3254	2107	1147
195	3146	2043	1103
196	3357	2188	1169
197	3413	2218	1195
198	3222	2093	1129
199	3411	2185	1226
200	3451	2236	1215
201	3408	2226	1182
202	3375	2182	1193
203	3209	2061	1148
204	3483	2264	1219
205	3496	2271	1225
206	3309	2110	1199
207	3238	2013	1225
208	3270	2062	1208
209	3469	2238	1231
210	3406	2182	1224
211	3232	2050	1182
212	3526	2293	1233
213	3498	2250	1248
214	3340	2096	1244
215	3213	2020	1193
216	3399	2237	1162
217	3537	2308	1229
218	3290	2053	1237
219	3315	2074	1241
220	3550	2330	1220
221	3518	2292	1226
222	3333	2151	1182
223	3264	2054	1210
224	3327	2148	1179
225	3657	2358	1299
226	3403	2141	1262
227	3359	2116	1243
228	3501	2261	1240
229	3592	2321	1271
230	3373	2141	1232
231	3239	2045	1194
232	3465	2205	1260
233	3810	2417	1393
234	3625	2271	1354
235	3456	2104	1352
236	3452	2137	1315
237	3501	2231	1270
238	3420	2143	1277
239	3379	2079	1300
240	3500	2193	1307
241	3732	2361	1371
242	3576	2238	1338
243	3589	2216	1373
244	3556	2226	1330
245	3432	2205	1227
246	3404	2139	1265
247	3393	2074	1319
248	3606	2233	1373
249	3757	2339	1418
250	3570	2195	1375
251	3348	2024	1324
252	3597	2227	1370
253	3546	2252	1294
254	3566	2209	1357
255	3581	2151	1430
256	3585	2214	1371
257	3592	2219	1373
258	3406	2049	1357
259	3372	2031	1341
260	3540	2137	1403
261	3549	2199	1350
262	3623	2243	1380
263	3569	2116	1453
264	3699	2250	1449
265	3569	2173	1396
266	3542	2120	1422
267	3464	2068	1396
268	3733	2285	1448
269	3771	2313	1458
270	3736	2231	1505
271	3805	2311	1494
272	3672	2253	1419
273	3485	2161	1324
274	3513	2123	1390
275	3677	2153	1524
276	3670	2200	1470
277	3617	2155	1462
278	3535	2098	1437
279	3430	2059	1371
280	3504	2124	1380
281	3602	2166	1436
282	3607	2114	1493
283	3571	2120	1451
284	3739	2281	1458
285	3809	2306	1503
286	3551	2075	1476
287	3483	1993	1490
288	3765	2218	1547
289	3948	2354	1594
290	3808	2285	1523
291	3521	2106	1415
292	3603	2144	1459
293	3725	2245	1480
294	3588	2115	1473
295	3577	2044	1533
296	3686	2161	1525
297	3665	2174	1491
298	3624	2122	1502
299	3598	2064	1534
300	3638	2160	1478
301	3654	2216	1438
302	3532	2076	1456
303	3541	2073	1468
304	3667	2175	1492
305	3671	2206	1465
306	3696	2183	1513
307	3605	2109	1496
308	3682	2141	1541
309	3972	2356	1616
310	3697	2144	1553
311	3534	1992	1542
312	3651	2106	1545
313	3770	2237	1533
314	3860	2280	1580
315	3849	2195	1654
316	3807	2240	1567
317	3708	2184	1524
318	3673	2118	1555
319	3668	2118	1550
320	3688	2189	1499
321	3814	2236	1578
322	3853	2205	1648
323	3662	2113	1549
324	3744	2157	1587
325	3835	2204	1631
326	3670	2084	1586
327	3589	2043	1546
328	3861	2243	1618
329	3963	2318	1645
330	3700	2181	1519
331	3531	2031	1500
332	3839	2238	1601
333	4498	2790	1708
334	4026	2433	1593
335	3769	2197	1572
336	3965	2356	1609
337	3931	2323	1608
338	3790	2147	1643
339	3753	2142	1611
340	3827	2240	1587
341	3949	2279	1670
342	3938	2257	1681
343	3803	2169	1634
344	3821	2154	1667
345	3949	2262	1687
346	3964	2242	1722
347	3723	2060	1663
348	3742	2138	1604
349	3826	2195	1631
350	3846	2161	1685
351	3856	2173	1683
352	4026	2417	1609
353	3926	2332	1594
354	3686	2099	1587
355	3676	2095	1581
356	3894	2210	1684
357	3900	2248	1652
358	3829	2193	1636
359	3715	2052	1663
360	3776	2136	1640
361	3859	2230	1629
362	3855	2241	1614
363	3807	2138	1669
364	3764	2126	1638
365	3786	2155	1631
366	3694	2074	1620
367	3636	1984	1652
368	3931	2229	1702
369	4101	2346	1755
370	3973	2246	1727
371	3832	2164	1668
372	3973	2261	1712
373	4024	2278	1746
374	3872	2154	1718
375	3937	2184	1753
376	3975	2259	1716
377	4014	2302	1712
378	3928	2250	1678
379	3783	2097	1686
380	3966	2273	1693
381	3922	2282	1640
382	3935	2205	1730
383	3818	2076	1742
384	4012	2244	1768
385	4111	2311	1800
386	3929	2190	1739
387	3861	2158	1703
388	4090	2340	1750
389	4137	2421	1716
390	3912	2228	1684
391	3799	2169	1630
392	3993	2281	1712
393	3967	2201	1766
394	3974	2274	1700
395	3905	2171	1734
396	3837	2155	1682
397	3890	2205	1685
398	3889	2158	1731
399	3810	2077	1733
400	3995	2225	1770
401	4020	2282	1738
402	3830	2141	1689
403	3845	2110	1735
404	4129	2337	1792
405	4043	2301	1742
406	4146	2399	1747
407	3910	2211	1699
408	4011	2285	1726
409	3952	2216	1736
410	3801	2073	1728
411	3886	2121	1765
412	3967	2209	1758
413	4000	2246	1754
414	3966	2190	1776
415	3853	2111	1742
416	4017	2255	1762
417	4033	2255	1778
418	3869	2093	1776
419	3706	2011	1695
420	3847	2126	1721
421	3883	2151	1732
422	3798	2083	1715
423	4038	2287	1751
424	4046	2313	1733
425	4073	2305	1768
426	3847	2060	1787
427	3713	1955	1758
428	3895	2199	1696
429	4249	2506	1743
430	4006	2261	1745
431	3858	2116	1742
432	4020	2306	1714
433	4256	2413	1843
434	4009	2174	1835
435	3762	2011	1751
436	4040	2298	1742
437	4071	2382	1689
438	3787	2126	1661
439	3726	2036	1690
440	4003	2277	1726
441	4046	2283	1763
442	3750	2021	1729
443	3833	2041	1792
444	4037	2240	1797
445	4187	2400	1787
446	3978	2214	1764
447	3784	2083	1701
448	4154	2331	1823
449	4252	2441	1811
450	4130	2258	1872
451	3917	2040	1877
452	3992	2208	1784
453	4108	2325	1783
454	3987	2178	1809
455	3865	2077	1788
456	4011	2235	1776
457	4222	2393	1829
458	4022	2170	1852
459	3965	2079	1886
460	4148	2340	1808
461	4121	2392	1729
462	4056	2230	1826
463	3755	1990	1765
464	3913	2155	1758
465	4153	2304	1849
466	3878	2071	1807
467	3798	1980	1818
468	4050	2246	1804
469	4267	2450	1817
470	4138	2344	1794
471	3891	2082	1809
472	3983	2211	1772
473	4208	2408	1800
474	4120	2226	1894
475	3828	1984	1844
476	3943	2156	1787
477	4142	2335	1807
478	4033	2212	1821
479	3760	2002	1758
480	4069	2247	1822
481	4223	2410	1813
482	4175	2347	1828
483	3957	2140	1817
484	4041	2247	1794
485	4062	2300	1762
486	3903	2144	1759
487	3752	1942	1810
488	4041	2208	1833
489	4134	2347	1787
490	3907	2082	1825
491	3755	1955	1800
492	4103	2259	1844
493	4218	2397	1821
494	3986	2161	1825
495	3997	2135	1862
496	4210	2339	1871
497	4160	2313	1847
498	3923	2131	1792
499	3732	1967	1765
500	3997	2202	1795
501	4215	2386	1829
502	3909	2139	1770
503	3838	2037	1801
504	4049	2264	1785
505	4170	2324	1846
506	4146	2251	1895
507	3977	2113	1864
508	4269	2380	1889
509	4408	2516	1892
510	4121	2279	1842
511	3980	2036	1944
512	4193	2281	1912
513	4268	2406	1862
514	4146	2275	1871
515	4159	2237	1922
516	4194	2312	1882
517	4132	2282	1850
518	3971	2160	1811
519	4026	2159	1867
520	4248	2387	1861
521	4189	2383	1806
522	4076	2237	1839
523	4110	2199	1911
524	4127	2307	1820
525	4260	2456	1804
526	4044	2197	1847
527	3881	1973	1908
528	4150	2235	1915
529	4259	2369	1890
530	4010	2143	1867
531	3797	1942	1855
532	4026	2162	1864
533	4124	2313	1811
534	4003	2173	1830
535	4815	2828	1987
536	4611	2717	1894
537	4259	2375	1884
538	3884	2168	1716
539	3862	2028	1834
540	4051	2178	1873
541	4248	2370	1878
542	4052	2162	1890
543	3790	1950	1840
544	4119	2234	1885
545	4241	2429	1812
546	4007	2188	1819
547	3902	2073	1829
548	4168	2312	1856
549	4489	2563	1926
550	4099	2222	1877
551	3789	2000	1789
552	4407	2520	1887
553	4435	2522	1913
554	4156	2302	1854
555	3957	2104	1853
556	4098	2268	1830
557	4129	2289	1840
558	3944	2069	1875
559	3868	2025	1843
560	4016	2214	1802
561	4430	2544	1886
562	4168	2238	1930
563	3866	1980	1886
564	4068	2236	1832
565	4328	2398	1930
566	4136	2184	1952
567	3979	2073	1906
568	4170	2285	1885
569	4257	2371	1886
570	4060	2136	1924
