index	original	background	difference
-----------------------------------------------------
1	3134	2270	864
2	2911	2116	795
3	2806	2044	762
4	2897	2105	792
5	2833	2099	734
6	2977	2188	789
7	3069	2181	888
8	3072	2211	861
9	2971	2187	784
10	2789	2005	784
11	2782	1971	811
12	2900	2099	801
13	2963	2229	734
14	2983	2194	789
15	2881	2039	842
16	3000	2140	860
17	3015	2176	839
18	2902	2107	795
19	2703	1926	777
20	2786	2002	784
21	3033	2159	874
22	2948	2077	871
23	2856	2013	843
24	2914	2131	783
25	2966	2168	798
26	2914	2058	856
27	2716	1903	813
28	2784	1972	812
29	2897	2072	825
30	2921	2063	858
31	2877	1997	880
32	2949	2089	860
33	2934	2100	834
34	2854	2012	842
35	2979	2087	892
36	3057	2155	902
37	3025	2153	872
38	2889	2068	821
39	2745	1954	791
40	2819	2025	794
41	2942	2114	828
42	2821	1998	823
43	2771	1945	826
44	2963	2051	912
45	3110	2199	911
46	3025	2142	883
47	2889	2041	848
48	2888	2047	841
49	3052	2151	901
50	3098	2186	912
51	2999	2143	856
52	3012	2127	885
53	3171	2234	937
54	2969	2052	917
55	2703	1875	828
56	2945	2058	887
57	3246	2280	966
58	2994	2054	940
59	2777	1922	855
60	2995	2063	932
61	3186	2243	943
62	3110	2164	946
63	2907	2021	886
64	2971	2109	862
65	3107	2182	925
66	3026	2090	936
67	2972	1992	980
68	3016	2051	965
69	2962	2063	899
70	2871	1976	895
71	2977	2063	914
72	3308	2306	1002
73	3184	2208	976
74	2971	2047	924
75	2796	1906	890
76	2927	2013	914
77	3066	2144	922
78	2979	2082	897
79	2955	2072	883
80	3009	2128	881
81	3079	2190	889
82	2966	2011	955
83	2976	2009	967
84	3036	2097	939
85	3067	2181	886
86	2982	2098	884
87	2976	2044	932
88	3072	2110	962
89	3182	2187	995
90	3100	2098	1002
91	3223	2177	1046
92	3313	2279	1034
93	3080	2130	950
94	2979	2024	955
95	2913	1960	953
96	3053	2140	913
97	3201	2264	937
98	3089	2123	966
99	2971	2050	921
100	2982	2087	895
101	3070	2148	922
102	3157	2098	1059
103	3093	2061	1032
104	3263	2265	998
105	3339	2350	989
106	3215	2206	1009
107	3027	2063	964
