index	original	background	difference
293	3873	2245	1628
294	3707	2115	1592
295	3727	2044	1683
296	3825	2161	1664
297	3803	2174	1629
298	3805	2122	1683
299	3732	2064	1668
300	3768	2160	1608
301	3813	2216	1597
302	3706	2076	1630
303	3718	2073	1645
304	3870	2175	1695
305	3912	2206	1706
306	3800	2183	1617
307	3737	2109	1628
308	3788	2141	1647
309	4101	2356	1745
310	3839	2144	1695
311	3641	1992	1649
312	3838	2106	1732
313	3972	2237	1735
314	4010	2280	1730
315	3946	2195	1751
316	3872	2240	1632
317	3833	2184	1649
318	3857	2118	1739
319	3855	2118	1737
320	3898	2189	1709
321	4012	2236	1776
322	4055	2205	1850
323	3881	2113	1768
324	3848	2157	1691
325	3948	2204	1744
326	3821	2084	1737
327	3722	2043	1679
328	4002	2243	1759
329	4096	2318	1778
330	3859	2181	1678
331	3721	2031	1690
332	4036	2238	1798
333	4681	2790	1891
334	4184	2433	1751
335	3906	2197	1709
336	4108	2356	1752
337	4019	2323	1696
338	3854	2147	1707
339	3885	2142	1743
340	3966	2240	1726
341	4086	2279	1807
342	4093	2257	1836
343	3950	2169	1781
344	3911	2154	1757
345	4052	2262	1790
346	4136	2242	1894
347	3868	2060	1808
348	3868	2138	1730
349	3918	2195	1723
350	3917	2161	1756
351	3996	2173	1823
352	4230	2417	1813
353	4094	2332	1762
354	3894	2099	1795
355	3990	2095	1895
356	4102	2210	1892
357	4073	2248	1825
358	4019	2193	1826
359	3836	2052	1784
360	3904	2136	1768
361	3964	2230	1734
362	3977	2241	1736
363	3983	2138	1845
364	3935	2126	1809
365	3946	2155	1791
366	3821	2074	1747
367	3729	1984	1745
368	4041	2229	1812
369	4223	2346	1877
370	4097	2246	1851
371	3952	2164	1788
372	4097	2261	1836
373	4071	2278	1793
374	3940	2154	1786
375	4022	2184	1838
376	4056	2259	1797
377	4112	2302	1810
378	4101	2250	1851
379	3957	2097	1860
380	4121	2273	1848
381	4097	2282	1815
382	4072	2205	1867
383	3969	2076	1893
384	4165	2244	1921
385	4169	2311	1858
386	4029	2190	1839
387	4037	2158	1879
388	4171	2340	1831
389	4234	2421	1813
390	4065	2228	1837
391	3943	2169	1774
392	4125	2281	1844
393	4048	2201	1847
394	3985	2274	1711
395	3932	2171	1761
396	3991	2155	1836
397	4041	2205	1836
398	4035	2158	1877
399	3939	2077	1862
400	4166	2225	1941
401	4113	2282	1831
402	3937	2141	1796
403	4017	2110	1907
404	4323	2337	1986
405	4225	2301	1924
406	4336	2399	1937
407	4064	2211	1853
408	4172	2285	1887
409	4099	2216	1883
410	3894	2073	1821
411	3957	2121	1836
412	4069	2209	1860
413	4094	2246	1848
414	4112	2190	1922
415	4048	2111	1937
416	4156	2255	1901
417	4119	2255	1864
418	3957	2093	1864
419	3849	2011	1838
420	4035	2126	1909
421	4041	2151	1890
422	3917	2083	1834
423	4262	2287	1975
424	4292	2313	1979
425	4211	2305	1906
426	3952	2060	1892
427	3880	1955	1925
428	4097	2199	1898
429	4449	2506	1943
430	4193	2261	1932
431	4031	2116	1915
432	4216	2306	1910
433	4370	2413	1957
434	4095	2174	1921
435	3882	2011	1871
436	4186	2298	1888
437	4208	2382	1826
438	3938	2126	1812
439	3890	2036	1854
440	4177	2277	1900
441	4196	2283	1913
442	3892	2021	1871
443	3969	2041	1928
444	4199	2240	1959
445	4323	2400	1923
446	4153	2214	1939
447	3990	2083	1907
448	4281	2331	1950
449	4399	2441	1958
450	4279	2258	2021
451	4045	2040	2005
452	4142	2208	1934
453	4259	2325	1934
454	4115	2178	1937
455	3974	2077	1897
456	4114	2235	1879
457	4329	2393	1936
458	4120	2170	1950
459	4101	2079	2022
460	4335	2340	1995
461	4302	2392	1910
462	4150	2230	1920
463	3886	1990	1896
464	4084	2155	1929
465	4222	2304	1918
466	4032	2071	1961
467	3966	1980	1986
468	4241	2246	1995
469	4435	2450	1985
470	4345	2344	2001
471	4020	2082	1938
472	4143	2211	1932
473	4358	2408	1950
474	4201	2226	1975
475	3932	1984	1948
476	4118	2156	1962
477	4314	2335	1979
478	4225	2212	2013
479	3874	2002	1872
480	4144	2247	1897
481	4370	2410	1960
482	4347	2347	2000
483	4144	2140	2004
484	4313	2247	2066
485	4339	2300	2039
486	4107	2144	1963
487	3888	1942	1946
488	4178	2208	1970
489	4290	2347	1943
490	4045	2082	1963
491	3904	1955	1949
492	4217	2259	1958
493	4361	2397	1964
494	4111	2161	1950
495	4150	2135	2015
496	4341	2339	2002
497	4374	2313	2061
498	4081	2131	1950
499	3865	1967	1898
500	4221	2202	2019
501	4413	2386	2027
502	4093	2139	1954
503	4055	2037	2018
504	4291	2264	2027
505	4328	2324	2004
506	4288	2251	2037
507	4101	2113	1988
508	4393	2380	2013
509	4508	2516	1992
