index	original	background	difference
-----------------------------------------------------
1	3120	2270	850
2	2879	2116	763
3	2776	2044	732
4	2830	2105	725
5	2784	2099	685
6	2917	2188	729
7	3008	2181	827
8	3013	2211	802
9	2898	2187	711
10	2781	2005	776
11	2740	1971	769
12	2825	2099	726
13	2980	2229	751
14	2986	2194	792
15	2803	2039	764
16	2864	2140	724
17	2900	2176	724
18	2947	2107	840
19	2743	1926	817
20	2791	2002	789
21	3015	2159	856
22	2938	2077	861
23	2894	2013	881
24	2954	2131	823
25	2963	2168	795
26	2888	2058	830
27	2686	1903	783
28	2726	1972	754
29	2854	2072	782
30	2891	2063	828
31	2825	1997	828
32	2878	2089	789
33	2888	2100	788
34	2799	2012	787
35	2899	2087	812
36	3006	2155	851
37	3006	2153	853
38	2926	2068	858
39	2756	1954	802
40	2793	2025	768
41	2915	2114	801
42	2794	1998	796
43	2740	1945	795
44	2881	2051	830
45	3048	2199	849
46	3000	2142	858
47	2870	2041	829
48	2838	2047	791
49	2928	2151	777
50	3037	2186	851
51	3003	2143	860
52	2957	2127	830
53	3133	2234	899
54	2923	2052	871
55	2686	1875	811
56	2899	2058	841
57	3178	2280	898
58	2933	2054	879
59	2754	1922	832
60	2977	2063	914
61	3135	2243	892
62	2998	2164	834
63	2883	2021	862
64	2979	2109	870
65	3063	2182	881
66	2961	2090	871
67	2940	1992	948
68	2978	2051	927
69	2912	2063	849
70	2848	1976	872
71	2938	2063	875
72	3250	2306	944
73	3096	2208	888
74	2829	2047	782
75	2690	1906	784
76	2843	2013	830
77	3015	2144	871
78	2906	2082	824
79	2908	2072	836
80	2989	2128	861
81	3082	2190	892
82	2838	2011	827
83	2813	2009	804
84	2990	2097	893
85	3080	2181	899
86	2945	2098	847
87	2935	2044	891
88	3018	2110	908
89	3058	2187	871
90	2966	2098	868
91	3122	2177	945
92	3235	2279	956
93	3005	2130	875
94	2859	2024	835
95	2856	1960	896
96	3070	2140	930
97	3217	2264	953
98	3066	2123	943
99	2957	2050	907
