index	original	background	difference
306	3475	2183	1292
307	3401	2109	1292
308	3459	2141	1318
309	3704	2356	1348
310	3498	2144	1354
311	3313	1992	1321
312	3442	2106	1336
313	3566	2237	1329
314	3649	2280	1369
315	3612	2195	1417
316	3602	2240	1362
317	3506	2184	1322
318	3471	2118	1353
319	3507	2118	1389
320	3570	2189	1381
321	3598	2236	1362
322	3654	2205	1449
323	3510	2113	1397
324	3472	2157	1315
325	3630	2204	1426
326	3479	2084	1395
327	3372	2043	1329
328	3599	2243	1356
329	3748	2318	1430
330	3557	2181	1376
331	3401	2031	1370
332	3665	2238	1427
333	4974	2790	2184
334	4248	2433	1815
335	3577	2197	1380
336	3767	2356	1411
337	3750	2323	1427
338	3557	2147	1410
339	3486	2142	1344
340	3585	2240	1345
341	3697	2279	1418
342	3683	2257	1426
343	3616	2169	1447
344	3573	2154	1419
345	3687	2262	1425
346	3755	2242	1513
347	3485	2060	1425
348	3503	2138	1365
349	3675	2195	1480
350	3619	2161	1458
351	3624	2173	1451
352	3838	2417	1421
353	3706	2332	1374
354	3424	2099	1325
355	3486	2095	1391
356	3657	2210	1447
357	3725	2248	1477
358	3640	2193	1447
359	3465	2052	1413
360	3578	2136	1442
361	3656	2230	1426
362	3628	2241	1387
363	3571	2138	1433
364	3540	2126	1414
365	3615	2155	1460
366	3549	2074	1475
367	3432	1984	1448
368	3715	2229	1486
369	3798	2346	1452
370	3662	2246	1416
371	3599	2164	1435
372	3722	2261	1461
373	3757	2278	1479
374	3645	2154	1491
375	3745	2184	1561
376	3790	2259	1531
377	3814	2302	1512
378	3736	2250	1486
379	3598	2097	1501
380	3789	2273	1516
381	3730	2282	1448
382	3706	2205	1501
383	3560	2076	1484
384	3741	2244	1497
385	3878	2311	1567
386	3652	2190	1462
387	3605	2158	1447
388	3850	2340	1510
389	3865	2421	1444
390	3644	2228	1416
391	3576	2169	1407
392	3778	2281	1497
393	3668	2201	1467
394	3615	2274	1341
395	3609	2171	1438
396	3610	2155	1455
397	3714	2205	1509
398	3704	2158	1546
399	3550	2077	1473
400	3757	2225	1532
401	3783	2282	1501
402	3627	2141	1486
403	3662	2110	1552
404	3964	2337	1627
405	3805	2301	1504
406	3920	2399	1521
407	3706	2211	1495
408	3776	2285	1491
409	3712	2216	1496
410	3539	2073	1466
411	3618	2121	1497
412	3680	2209	1471
413	3689	2246	1443
414	3684	2190	1494
415	3620	2111	1509
416	3753	2255	1498
417	3700	2255	1445
418	3492	2093	1399
419	3418	2011	1407
420	3627	2126	1501
421	3662	2151	1511
422	3550	2083	1467
423	3818	2287	1531
424	3821	2313	1508
425	3767	2305	1462
426	3549	2060	1489
427	3463	1955	1508
428	3694	2199	1495
429	4012	2506	1506
430	3776	2261	1515
431	3615	2116	1499
432	3756	2306	1450
433	3952	2413	1539
434	3686	2174	1512
435	3484	2011	1473
436	3840	2298	1542
437	3882	2382	1500
438	3574	2126	1448
439	3463	2036	1427
440	3749	2277	1472
441	3770	2283	1487
442	3525	2021	1504
443	3591	2041	1550
444	3834	2240	1594
445	3970	2400	1570
446	3723	2214	1509
447	3535	2083	1452
448	3844	2331	1513
449	4053	2441	1612
450	3893	2258	1635
451	3605	2040	1565
452	3736	2208	1528
453	3894	2325	1569
454	3721	2178	1543
455	3589	2077	1512
456	3731	2235	1496
457	3926	2393	1533
458	3668	2170	1498
459	3638	2079	1559
460	3897	2340	1557
461	3870	2392	1478
462	3751	2230	1521
463	3497	1990	1507
464	3667	2155	1512
465	3853	2304	1549
466	3585	2071	1514
467	3552	1980	1572
468	3795	2246	1549
469	4017	2450	1567
470	3890	2344	1546
471	3591	2082	1509
472	3703	2211	1492
473	3923	2408	1515
474	3775	2226	1549
475	3500	1984	1516
476	3667	2156	1511
477	3880	2335	1545
478	3763	2212	1551
479	3451	2002	1449
480	3715	2247	1468
481	3940	2410	1530
482	3921	2347	1574
483	3739	2140	1599
484	3852	2247	1605
485	3806	2300	1506
486	3646	2144	1502
487	3468	1942	1526
488	3753	2208	1545
489	3914	2347	1567
490	3609	2082	1527
491	3463	1955	1508
492	3791	2259	1532
493	3937	2397	1540
494	3740	2161	1579
495	3700	2135	1565
496	3862	2339	1523
497	3873	2313	1560
498	3650	2131	1519
499	3436	1967	1469
500	3712	2202	1510
501	3880	2386	1494
502	3610	2139	1471
503	3570	2037	1533
504	3824	2264	1560
505	3870	2324	1546
506	3839	2251	1588
507	3689	2113	1576
508	3942	2380	1562
509	4060	2516	1544
510	3820	2279	1541
511	3643	2036	1607
512	3869	2281	1588
513	3979	2406	1573
514	3820	2275	1545
515	3859	2237	1622
516	3931	2312	1619
517	3856	2282	1574
518	3698	2160	1538
519	3738	2159	1579
520	3952	2387	1565
521	3914	2383	1531
522	3813	2237	1576
523	3773	2199	1574
524	3832	2307	1525
525	3987	2456	1531
526	3763	2197	1566
527	3518	1973	1545
528	3854	2235	1619
529	4002	2369	1633
530	3774	2143	1631
531	3516	1942	1574
532	3677	2162	1515
533	3819	2313	1506
534	3707	2173	1534
535	4481	2828	1653
536	4259	2717	1542
537	3897	2375	1522
538	3722	2168	1554
539	3626	2028	1598
540	3706	2178	1528
541	3909	2370	1539
542	3773	2162	1611
543	3523	1950	1573
544	3800	2234	1566
545	3960	2429	1531
546	3701	2188	1513
547	3607	2073	1534
548	3921	2312	1609
549	4214	2563	1651
550	3834	2222	1612
551	3494	2000	1494
552	4084	2520	1564
553	4111	2522	1589
554	3954	2302	1652
555	3737	2104	1633
556	3811	2268	1543
557	3863	2289	1574
558	3667	2069	1598
559	3615	2025	1590
560	3778	2214	1564
561	4138	2544	1594
562	3805	2238	1567
563	3547	1980	1567
564	3864	2236	1628
565	4005	2398	1607
566	3762	2184	1578
567	3635	2073	1562
568	3789	2285	1504
569	3896	2371	1525
570	3685	2136	1549
571	3514	1980	1534
572	3794	2241	1553
573	3937	2338	1599
574	3694	2131	1563
575	3513	1973	1540
576	3838	2202	1636
577	3882	2354	1528
578	3765	2198	1567
579	3731	2127	1604
580	3891	2321	1570
581	3983	2396	1587
582	3633	2157	1476
583	3490	1947	1543
584	3747	2172	1575
585	3800	2245	1555
586	3782	2208	1574
587	3648	2082	1566
588	3831	2260	1571
589	3982	2363	1619
590	3821	2189	1632
591	3553	2024	1529
592	3688	2151	1537
593	3834	2296	1538
594	3601	2036	1565
595	3562	1940	1622
596	3695	2161	1534
597	3914	2336	1578
598	3913	2267	1646
599	3646	2058	1588
600	3821	2229	1592
601	3915	2317	1598
602	3746	2196	1550
603	3667	2083	1584
604	3770	2193	1577
605	3760	2260	1500
606	3692	2101	1591
607	3623	1994	1629
608	3910	2273	1637
609	3878	2294	1584
610	3776	2141	1635
611	3668	2079	1589
612	3764	2242	1522
613	3935	2313	1622
614	3887	2229	1658
615	3656	2064	1592
616	3868	2240	1628
617	4031	2361	1670
618	3726	2113	1613
619	3574	2028	1546
620	4035	2443	1592
621	4048	2439	1609
622	3765	2189	1576
623	3659	2065	1594
624	3856	2217	1639
625	3937	2315	1622
626	3759	2175	1584
627	3648	2054	1594
628	3910	2311	1599
629	4015	2363	1652
630	3807	2176	1631
631	3589	2014	1575
632	3849	2250	1599
633	4064	2414	1650
634	4061	2380	1681
635	3798	2148	1650
636	4089	2372	1717
637	4107	2359	1748
638	3892	2174	1718
639	3717	2036	1681
640	3902	2214	1688
641	3951	2264	1687
642	3702	2039	1663
643	3765	2004	1761
644	3898	2186	1712
645	4006	2322	1684
646	4140	2373	1767
647	3995	2205	1790
648	4057	2321	1736
649	4063	2368	1695
650	3770	2042	1728
651	3682	1938	1744
652	4002	2300	1702
653	4125	2407	1718
654	3884	2197	1687
655	3706	2037	1669
656	3906	2181	1725
657	3991	2287	1704
658	3932	2169	1763
659	3741	1977	1764
660	3905	2136	1769
661	4217	2392	1825
662	3974	2214	1760
663	3619	1978	1641
664	3790	2122	1668
665	3940	2256	1684
666	3706	2066	1640
667	3696	2019	1677
668	3929	2229	1700
669	4014	2270	1744
670	3879	2097	1782
671	3737	1977	1760
672	3998	2234	1764
673	4171	2385	1786
674	4038	2258	1780
675	3908	2093	1815
676	3993	2204	1789
677	4039	2270	1769
678	3901	2115	1786
679	3869	2087	1782
680	4037	2237	1800
681	4004	2239	1765
682	3946	2148	1798
683	3793	1994	1799
684	4122	2302	1820
685	4333	2456	1877
686	4057	2169	1888
687	3894	2069	1825
688	3959	2219	1740
689	4116	2317	1799
690	4047	2189	1858
691	3920	2089	1831
692	4048	2251	1797
693	4196	2386	1810
694	3994	2103	1891
695	3899	2007	1892
696	4058	2159	1899
697	4066	2215	1851
698	3964	2130	1834
699	3929	2041	1888
700	4462	2502	1960
701	4388	2479	1909
702	4005	2170	1835
703	3890	2041	1849
704	4260	2369	1891
705	4311	2435	1876
706	4190	2281	1909
707	3900	2064	1836
708	4021	2237	1784
709	4238	2378	1860
710	4006	2112	1894
711	3917	1996	1921
712	4276	2353	1923
