index	original	background	difference
-----------------------------------------------------
1	2860	2270	590
2	2655	2116	539
3	2561	2044	517
4	2606	2105	501
5	2574	2099	475
6	2742	2188	554
7	2829	2181	648
8	2791	2211	580
9	2701	2187	514
10	2562	2005	557
11	2477	1971	506
12	2621	2099	522
13	2758	2229	529
14	2784	2194	590
15	2632	2039	593
16	2734	2140	594
17	2725	2176	549
18	2671	2107	564
19	2490	1926	564
20	2545	2002	543
21	2716	2159	557
22	2624	2077	547
23	2626	2013	613
24	2655	2131	524
25	2674	2168	506
26	2640	2058	582
27	2445	1903	542
28	2467	1972	495
29	2569	2072	497
30	2668	2063	605
31	2630	1997	633
32	2695	2089	606
33	2641	2100	541
34	2530	2012	518
35	2656	2087	569
36	2731	2155	576
37	2688	2153	535
38	2590	2068	522
39	2417	1954	463
40	2526	2025	501
41	2657	2114	543
42	2512	1998	514
43	2460	1945	515
44	2601	2051	550
45	2742	2199	543
46	2733	2142	591
47	2594	2041	553
48	2591	2047	544
49	2737	2151	586
50	2759	2186	573
51	2699	2143	556
52	2659	2127	532
53	2791	2234	557
54	2602	2052	550
55	2391	1875	516
56	2560	2058	502
57	2835	2280	555
58	2623	2054	569
59	2434	1922	512
60	2642	2063	579
61	2809	2243	566
62	2761	2164	597
63	2548	2021	527
64	2593	2109	484
65	2693	2182	511
66	2629	2090	539
67	2560	1992	568
68	2572	2051	521
69	2527	2063	464
70	2511	1976	535
71	2602	2063	539
72	2901	2306	595
73	2762	2208	554
74	2506	2047	459
75	2405	1906	499
76	2543	2013	530
77	2656	2144	512
78	2598	2082	516
79	2596	2072	524
80	2672	2128	544
81	2721	2190	531
82	2487	2011	476
83	2473	2009	464
84	2590	2097	493
85	2645	2181	464
86	2503	2098	405
87	2460	2044	416
88	2573	2110	463
89	2703	2187	516
90	2613	2098	515
91	2723	2177	546
92	2824	2279	545
93	2625	2130	495
94	2484	2024	460
95	2399	1960	439
96	2557	2140	417
97	2753	2264	489
98	2621	2123	498
99	2494	2050	444
100	2486	2087	399
101	2571	2148	423
102	2649	2098	551
103	2610	2061	549
104	2834	2265	569
105	2848	2350	498
106	2672	2206	466
107	2523	2063	460
108	2560	2158	402
109	2682	2221	461
110	2552	2111	441
111	2676	2180	496
112	2729	2219	510
113	2590	2120	470
114	2580	2096	484
115	2514	2086	428
116	2564	2138	426
117	2708	2219	489
118	2479	2070	409
119	2387	1995	392
120	2491	2083	408
121	2529	2129	400
122	2482	2053	429
123	2349	1936	413
124	2403	2038	365
125	2508	2099	409
126	2534	2078	456
127	2545	2113	432
128	2825	2384	441
