index	original	background	difference
-----------------------------------------------------
1	2915	2270	645
2	2689	2116	573
3	2541	2044	497
4	2616	2105	511
5	2578	2099	479
6	2763	2188	575
7	2822	2181	641
8	2782	2211	571
9	2711	2187	524
10	2579	2005	574
11	2513	1971	542
12	2634	2099	535
13	2753	2229	524
14	2815	2194	621
15	2671	2039	632
16	2775	2140	635
17	2770	2176	594
18	2709	2107	602
19	2509	1926	583
20	2597	2002	595
21	2803	2159	644
22	2718	2077	641
23	2696	2013	683
24	2731	2131	600
25	2720	2168	552
26	2671	2058	613
27	2495	1903	592
28	2513	1972	541
29	2629	2072	557
30	2703	2063	640
31	2672	1997	675
32	2710	2089	621
33	2702	2100	602
34	2623	2012	611
35	2738	2087	651
36	2829	2155	674
37	2825	2153	672
38	2699	2068	631
39	2518	1954	564
40	2592	2025	567
41	2707	2114	593
42	2607	1998	609
43	2579	1945	634
44	2726	2051	675
45	2858	2199	659
46	2766	2142	624
47	2654	2041	613
48	2658	2047	611
49	2757	2151	606
50	2790	2186	604
51	2767	2143	624
52	2783	2127	656
53	2953	2234	719
54	2751	2052	699
55	2515	1875	640
56	2723	2058	665
57	3021	2280	741
58	2729	2054	675
59	2533	1922	611
60	2748	2063	685
61	2921	2243	678
62	2802	2164	638
63	2635	2021	614
64	2719	2109	610
65	2854	2182	672
66	2793	2090	703
67	2712	1992	720
68	2769	2051	718
69	2714	2063	651
70	2624	1976	648
71	2747	2063	684
72	3072	2306	766
73	2927	2208	719
74	2685	2047	638
75	2546	1906	640
76	2658	2013	645
77	2825	2144	681
78	2801	2082	719
79	2737	2072	665
80	2818	2128	690
81	2904	2190	714
82	2705	2011	694
83	2735	2009	726
84	2837	2097	740
85	2898	2181	717
86	2736	2098	638
87	2658	2044	614
88	2797	2110	687
89	2913	2187	726
90	2841	2098	743
91	3029	2177	852
92	3120	2279	841
93	2849	2130	719
94	2712	2024	688
95	2650	1960	690
96	2821	2140	681
97	3016	2264	752
98	2924	2123	801
99	2763	2050	713
100	2771	2087	684
101	2847	2148	699
102	2896	2098	798
103	2847	2061	786
104	3060	2265	795
105	3091	2350	741
106	2948	2206	742
107	2836	2063	773
108	2876	2158	718
109	3038	2221	817
110	2855	2111	744
111	2934	2180	754
112	2982	2219	763
113	2827	2120	707
114	2859	2096	763
115	2855	2086	769
116	2900	2138	762
117	3036	2219	817
118	2773	2070	703
119	2734	1995	739
120	2799	2083	716
121	2783	2129	654
122	2797	2053	744
123	2728	1936	792
124	2743	2038	705
125	2842	2099	743
126	2792	2078	714
127	2842	2113	729
128	3203	2384	819
129	3114	2322	792
130	2920	2133	787
131	2815	2017	798
132	3073	2189	884
133	3047	2193	854
134	2806	1992	814
135	2777	2010	767
136	3013	2176	837
137	3070	2223	847
138	2897	2091	806
139	2899	2096	803
140	2891	2061	830
141	2927	2109	818
142	3004	2162	842
143	2935	2085	850
144	3019	2154	865
145	2990	2139	851
146	3025	2160	865
147	2924	2084	840
148	2929	2075	854
149	3140	2253	887
150	3082	2220	862
151	2838	2036	802
152	3072	2212	860
153	3165	2287	878
154	3131	2212	919
155	3070	2156	914
156	3136	2290	846
157	3068	2200	868
158	2886	2042	844
159	2861	2020	841
160	3116	2178	938
161	3139	2231	908
162	2940	2099	841
163	2978	2099	879
164	3215	2268	947
165	3169	2255	914
166	3071	2151	920
167	2943	2068	875
168	3040	2150	890
169	3108	2214	894
170	3020	2131	889
171	3027	2107	920
172	3112	2198	914
173	3126	2230	896
174	2910	2057	853
175	2938	2050	888
176	3013	2112	901
177	3030	2157	873
178	2915	2075	840
179	2994	2075	919
180	3235	2265	970
181	3233	2267	966
182	3146	2185	961
183	2898	1994	904
184	2992	2102	890
185	3075	2187	888
186	3016	2071	945
187	2931	1982	949
188	3016	2081	935
189	3113	2226	887
190	3083	2222	861
191	3076	2135	941
192	3247	2245	1002
193	3182	2227	955
194	3007	2107	900
195	2942	2043	899
196	3098	2188	910
197	3127	2218	909
198	3011	2093	918
199	3193	2185	1008
200	3220	2236	984
201	3171	2226	945
202	3138	2182	956
203	3008	2061	947
204	3215	2264	951
205	3252	2271	981
206	3114	2110	1004
207	3017	2013	1004
208	3014	2062	952
209	3168	2238	930
210	3164	2182	982
211	2993	2050	943
212	3283	2293	990
213	3269	2250	1019
214	3122	2096	1026
215	3011	2020	991
216	3215	2237	978
217	3335	2308	1027
218	3086	2053	1033
219	3077	2074	1003
220	3289	2330	959
221	3273	2292	981
222	3145	2151	994
223	3085	2054	1031
224	3137	2148	989
225	3406	2358	1048
226	3174	2141	1033
227	3185	2116	1069
228	3341	2261	1080
229	3379	2321	1058
230	3120	2141	979
231	3000	2045	955
232	3209	2205	1004
233	3524	2417	1107
234	3353	2271	1082
235	3145	2104	1041
236	3159	2137	1022
237	3233	2231	1002
238	3173	2143	1030
239	3145	2079	1066
240	3286	2193	1093
241	3510	2361	1149
242	3375	2238	1137
243	3426	2216	1210
244	3334	2226	1108
245	3208	2205	1003
246	3141	2139	1002
247	3118	2074	1044
248	3333	2233	1100
249	3492	2339	1153
250	3376	2195	1181
251	3138	2024	1114
252	3353	2227	1126
253	3346	2252	1094
254	3326	2209	1117
255	3355	2151	1204
256	3397	2214	1183
257	3323	2219	1104
258	3169	2049	1120
259	3146	2031	1115
260	3291	2137	1154
261	3339	2199	1140
262	3404	2243	1161
263	3247	2116	1131
264	3391	2250	1141
265	3360	2173	1187
266	3289	2120	1169
267	3228	2068	1160
268	3495	2285	1210
269	3543	2313	1230
270	3456	2231	1225
271	3524	2311	1213
272	3486	2253	1233
273	3332	2161	1171
274	3323	2123	1200
275	3427	2153	1274
276	3457	2200	1257
277	3383	2155	1228
278	3308	2098	1210
279	3262	2059	1203
280	3302	2124	1178
281	3331	2166	1165
282	3325	2114	1211
283	3317	2120	1197
284	3450	2281	1169
285	3536	2306	1230
286	3357	2075	1282
287	3264	1993	1271
288	3477	2218	1259
289	3641	2354	1287
290	3628	2285	1343
291	3364	2106	1258
292	3370	2144	1226
293	3475	2245	1230
294	3321	2115	1206
295	3304	2044	1260
296	3426	2161	1265
297	3434	2174	1260
298	3428	2122	1306
299	3383	2064	1319
300	3412	2160	1252
301	3428	2216	1212
302	3306	2076	1230
303	3348	2073	1275
304	3422	2175	1247
305	3435	2206	1229
306	3410	2183	1227
307	3372	2109	1263
308	3465	2141	1324
309	3671	2356	1315
310	3442	2144	1298
311	3288	1992	1296
312	3400	2106	1294
313	3520	2237	1283
314	3637	2280	1357
315	3577	2195	1382
316	3533	2240	1293
317	3467	2184	1283
318	3406	2118	1288
319	3396	2118	1278
320	3508	2189	1319
321	3586	2236	1350
322	3635	2205	1430
323	3462	2113	1349
324	3467	2157	1310
325	3523	2204	1319
326	3441	2084	1357
327	3333	2043	1290
328	3605	2243	1362
329	3686	2318	1368
330	3504	2181	1323
331	3347	2031	1316
332	3587	2238	1349
333	4216	2790	1426
334	3868	2433	1435
335	3645	2197	1448
336	3781	2356	1425
337	3653	2323	1330
338	3466	2147	1319
339	3553	2142	1411
340	3624	2240	1384
341	3693	2279	1414
342	3702	2257	1445
343	3553	2169	1384
344	3562	2154	1408
345	3678	2262	1416
346	3730	2242	1488
347	3476	2060	1416
348	3466	2138	1328
349	3558	2195	1363
350	3582	2161	1421
351	3570	2173	1397
352	3828	2417	1411
353	3703	2332	1371
354	3460	2099	1361
355	3518	2095	1423
356	3693	2210	1483
357	3668	2248	1420
358	3609	2193	1416
359	3465	2052	1413
360	3558	2136	1422
361	3667	2230	1437
362	3651	2241	1410
363	3581	2138	1443
364	3571	2126	1445
365	3574	2155	1419
366	3519	2074	1445
367	3421	1984	1437
368	3645	2229	1416
369	3799	2346	1453
370	3726	2246	1480
371	3547	2164	1383
372	3715	2261	1454
373	3752	2278	1474
374	3584	2154	1430
375	3706	2184	1522
376	3761	2259	1502
377	3745	2302	1443
378	3685	2250	1435
379	3594	2097	1497
380	3733	2273	1460
381	3699	2282	1417
382	3699	2205	1494
383	3586	2076	1510
384	3771	2244	1527
385	3888	2311	1577
386	3682	2190	1492
387	3624	2158	1466
388	3804	2340	1464
389	3845	2421	1424
390	3711	2228	1483
391	3636	2169	1467
392	3787	2281	1506
393	3708	2201	1507
394	3628	2274	1354
395	3550	2171	1379
396	3584	2155	1429
397	3682	2205	1477
398	3675	2158	1517
399	3608	2077	1531
400	3793	2225	1568
401	3792	2282	1510
402	3571	2141	1430
403	3590	2110	1480
404	3966	2337	1629
405	3847	2301	1546
406	3940	2399	1541
407	3743	2211	1532
408	3826	2285	1541
409	3753	2216	1537
410	3620	2073	1547
411	3671	2121	1550
412	3754	2209	1545
413	3730	2246	1484
414	3715	2190	1525
415	3637	2111	1526
416	3776	2255	1521
417	3745	2255	1490
418	3590	2093	1497
419	3435	2011	1424
420	3618	2126	1492
421	3671	2151	1520
422	3567	2083	1484
423	3826	2287	1539
424	3844	2313	1531
425	3792	2305	1487
426	3604	2060	1544
427	3495	1955	1540
428	3694	2199	1495
429	4074	2506	1568
430	3792	2261	1531
431	3620	2116	1504
432	3802	2306	1496
433	3990	2413	1577
434	3746	2174	1572
435	3527	2011	1516
436	3894	2298	1596
437	3841	2382	1459
438	3529	2126	1403
439	3503	2036	1467
440	3815	2277	1538
441	3811	2283	1528
442	3539	2021	1518
443	3659	2041	1618
444	3812	2240	1572
445	3937	2400	1537
446	3782	2214	1568
447	3578	2083	1495
448	3867	2331	1536
449	4010	2441	1569
450	3864	2258	1606
451	3641	2040	1601
452	3726	2208	1518
453	3841	2325	1516
454	3680	2178	1502
455	3528	2077	1451
456	3672	2235	1437
457	3902	2393	1509
458	3717	2170	1547
459	3666	2079	1587
460	3890	2340	1550
461	3925	2392	1533
462	3777	2230	1547
463	3506	1990	1516
464	3709	2155	1554
465	3905	2304	1601
466	3644	2071	1573
467	3550	1980	1570
468	3856	2246	1610
469	4107	2450	1657
470	4020	2344	1676
471	3674	2082	1592
472	3761	2211	1550
473	3956	2408	1548
474	3772	2226	1546
475	3533	1984	1549
476	3721	2156	1565
477	3897	2335	1562
478	3826	2212	1614
479	3578	2002	1576
480	3820	2247	1573
481	3960	2410	1550
482	3944	2347	1597
483	3793	2140	1653
484	3871	2247	1624
485	3867	2300	1567
486	3683	2144	1539
487	3487	1942	1545
488	3826	2208	1618
489	3919	2347	1572
490	3684	2082	1602
491	3556	1955	1601
492	3878	2259	1619
493	3978	2397	1581
494	3712	2161	1551
495	3692	2135	1557
496	3887	2339	1548
497	3940	2313	1627
498	3730	2131	1599
499	3562	1967	1595
500	3799	2202	1597
501	3989	2386	1603
502	3719	2139	1580
503	3636	2037	1599
504	3860	2264	1596
505	3902	2324	1578
506	3858	2251	1607
507	3702	2113	1589
508	4022	2380	1642
509	4153	2516	1637
510	3891	2279	1612
511	3761	2036	1725
512	3947	2281	1666
513	3984	2406	1578
514	3870	2275	1595
515	3919	2237	1682
516	4028	2312	1716
517	3918	2282	1636
518	3752	2160	1592
519	3829	2159	1670
520	4077	2387	1690
521	4003	2383	1620
522	3873	2237	1636
523	3891	2199	1692
524	3929	2307	1622
525	4051	2456	1595
526	3851	2197	1654
527	3624	1973	1651
528	3887	2235	1652
529	3908	2369	1539
530	3749	2143	1606
531	3532	1942	1590
532	3737	2162	1575
533	3860	2313	1547
534	3674	2173	1501
535	4467	2828	1639
536	4380	2717	1663
537	4002	2375	1627
538	3783	2168	1615
539	3682	2028	1654
540	3751	2178	1573
541	3911	2370	1541
542	3786	2162	1624
543	3538	1950	1588
544	3877	2234	1643
545	4036	2429	1607
546	3775	2188	1587
547	3625	2073	1552
548	3917	2312	1605
549	4272	2563	1709
550	3897	2222	1675
551	3582	2000	1582
552	4175	2520	1655
553	4257	2522	1735
554	3981	2302	1679
555	3761	2104	1657
556	3913	2268	1645
557	3958	2289	1669
558	3735	2069	1666
559	3646	2025	1621
560	3824	2214	1610
561	4247	2544	1703
562	3929	2238	1691
563	3626	1980	1646
564	3873	2236	1637
565	4050	2398	1652
566	3833	2184	1649
567	3680	2073	1607
568	3834	2285	1549
569	3923	2371	1552
570	3704	2136	1568
571	3583	1980	1603
572	3875	2241	1634
573	4014	2338	1676
574	3793	2131	1662
575	3608	1973	1635
576	3928	2202	1726
577	4026	2354	1672
578	3869	2198	1671
579	3829	2127	1702
580	4015	2321	1694
581	4097	2396	1701
582	3782	2157	1625
583	3541	1947	1594
584	3751	2172	1579
585	3863	2245	1618
586	3901	2208	1693
587	3686	2082	1604
588	3926	2260	1666
589	4081	2363	1718
590	3894	2189	1705
591	3645	2024	1621
592	3792	2151	1641
593	3881	2296	1585
594	3631	2036	1595
595	3637	1940	1697
596	3826	2161	1665
597	4007	2336	1671
598	3974	2267	1707
599	3771	2058	1713
600	3934	2229	1705
601	4035	2317	1718
602	3881	2196	1685
603	3713	2083	1630
604	3842	2193	1649
605	3894	2260	1634
606	3753	2101	1652
607	3675	1994	1681
608	3966	2273	1693
609	3952	2294	1658
610	3845	2141	1704
611	3777	2079	1698
612	3891	2242	1649
613	4051	2313	1738
614	3964	2229	1735
615	3719	2064	1655
616	3908	2240	1668
617	4042	2361	1681
618	3834	2113	1721
619	3728	2028	1700
620	4128	2443	1685
621	4125	2439	1686
622	3788	2189	1599
623	3762	2065	1697
624	3928	2217	1711
625	3968	2315	1653
626	3897	2175	1722
627	3759	2054	1705
628	3985	2311	1674
629	4062	2363	1699
630	3873	2176	1697
631	3699	2014	1685
632	3969	2250	1719
633	4198	2414	1784
634	4165	2380	1785
635	3905	2148	1757
636	4182	2372	1810
637	4199	2359	1840
638	4012	2174	1838
639	3818	2036	1782
640	3950	2214	1736
641	4060	2264	1796
642	3855	2039	1816
643	3824	2004	1820
644	3983	2186	1797
645	4130	2322	1808
646	4214	2373	1841
647	4082	2205	1877
648	4181	2321	1860
649	4198	2368	1830
650	3866	2042	1824
651	3762	1938	1824
652	4149	2300	1849
653	4222	2407	1815
654	4035	2197	1838
655	3816	2037	1779
656	4005	2181	1824
657	4144	2287	1857
658	4081	2169	1912
659	3845	1977	1868
660	3947	2136	1811
661	4252	2392	1860
662	4077	2214	1863
663	3716	1978	1738
664	3883	2122	1761
665	4045	2256	1789
666	3841	2066	1775
667	3820	2019	1801
668	4086	2229	1857
669	4117	2270	1847
670	3986	2097	1889
671	3886	1977	1909
672	4098	2234	1864
673	4282	2385	1897
674	4169	2258	1911
675	3996	2093	1903
676	4087	2204	1883
677	4153	2270	1883
678	3969	2115	1854
679	3980	2087	1893
680	4188	2237	1951
681	4176	2239	1937
682	4083	2148	1935
683	3959	1994	1965
684	4309	2302	2007
685	4394	2456	1938
686	4150	2169	1981
687	4029	2069	1960
688	4148	2219	1929
689	4258	2317	1941
690	4111	2189	1922
691	4038	2089	1949
692	4191	2251	1940
693	4298	2386	1912
694	4101	2103	1998
695	4075	2007	2068
696	4246	2159	2087
697	4289	2215	2074
698	4189	2130	2059
699	4069	2041	2028
700	4613	2502	2111
701	4516	2479	2037
702	4174	2170	2004
703	4000	2041	1959
704	4370	2369	2001
705	4405	2435	1970
706	4274	2281	1993
707	4064	2064	2000
708	4205	2237	1968
709	4359	2378	1981
710	4127	2112	2015
711	4082	1996	2086
712	4413	2353	2060
713	4522	2488	2034
714	4149	2108	2041
715	4080	2022	2058
716	4397	2301	2096
717	4506	2382	2124
718	4291	2246	2045
719	4144	2076	2068
720	4292	2193	2099
721	4438	2297	2141
722	4403	2288	2115
723	4222	2101	2121
724	4387	2248	2139
725	4561	2430	2131
726	4360	2209	2151
727	4226	2034	2192
728	4417	2197	2220
729	4465	2290	2175
730	4361	2152	2209
731	4218	2002	2216
732	4628	2428	2200
733	4657	2472	2185
734	4471	2216	2255
735	4337	2097	2240
736	4565	2303	2262
737	4636	2366	2270
738	4512	2232	2280
739	4367	2096	2271
740	4705	2402	2303
741	4710	2465	2245
742	4363	2136	2227
743	4227	2003	2224
744	4561	2263	2298
745	4667	2346	2321
746	4491	2237	2254
747	4383	2053	2330
748	4571	2230	2341
749	4663	2330	2333
750	4514	2158	2356
751	4378	2079	2299
752	4518	2301	2217
753	4634	2350	2284
754	4476	2113	2363
755	4224	1929	2295
756	4529	2268	2261
757	4803	2462	2341
758	4666	2261	2405
759	4445	2077	2368
760	4585	2230	2355
761	4756	2365	2391
762	4570	2155	2415
763	4501	2057	2444
764	4729	2251	2478
765	4834	2310	2524
766	4621	2110	2511
767	4540	2012	2528
768	4847	2357	2490
769	4958	2476	2482
770	4685	2157	2528
771	4603	2061	2542
772	4752	2235	2517
773	4928	2364	2564
774	4794	2176	2618
775	4627	2017	2610
776	5278	2673	2605
777	5237	2648	2589
778	4788	2183	2605
779	4677	2088	2589
780	4961	2334	2627
781	5128	2479	2649
782	4977	2263	2714
783	4771	2054	2717
784	4855	2209	2646
785	4873	2264	2609
786	4905	2237	2668
787	4883	2095	2788
788	5043	2268	2775
789	5053	2311	2742
790	4845	2060	2785
791	4729	1961	2768
792	5107	2306	2801
793	5398	2531	2867
794	5100	2215	2885
795	4826	1987	2839
796	5058	2278	2780
797	5117	2364	2753
798	4918	2086	2832
799	5027	2136	2891
800	5194	2349	2845
801	5157	2380	2777
802	4971	2158	2813
803	4828	2017	2811
804	5114	2271	2843
805	5252	2389	2863
806	5042	2143	2899
807	4911	2025	2886
808	5314	2376	2938
809	5448	2443	3005
810	5243	2247	2996
811	5254	2228	3026
812	5383	2383	3000
813	5427	2444	2983
814	5379	2350	3029
815	5214	2158	3056
816	5476	2439	3037
817	5463	2442	3021
818	5267	2182	3085
819	5236	2140	3096
820	5353	2294	3059
821	5457	2343	3114
822	5556	2424	3132
823	5425	2264	3161
824	5396	2291	3105
825	5460	2317	3143
826	5309	2179	3130
827	5285	2162	3123
828	5507	2371	3136
829	5638	2492	3146
830	5323	2187	3136
831	5252	2055	3197
832	5472	2231	3241
833	5539	2336	3203
834	5397	2182	3215
835	5308	2062	3246
836	5654	2396	3258
837	5760	2479	3281
838	5462	2170	3292
839	5318	2047	3271
840	5614	2303	3311
841	5707	2346	3361
842	5474	2140	3334
843	5282	1993	3289
844	5597	2269	3328
845	5939	2529	3410
846	5685	2288	3397
847	5513	2114	3399
848	5757	2279	3478
849	5815	2333	3482
850	5671	2247	3424
851	5679	2189	3490
852	5809	2294	3515
853	5916	2402	3514
854	5739	2237	3502
855	5580	2063	3517
856	5780	2313	3467
857	5910	2366	3544
858	5841	2193	3648
859	5658	2015	3643
860	5788	2241	3547
861	5900	2361	3539
862	5765	2174	3591
863	5598	2015	3583
864	5769	2192	3577
865	5963	2400	3563
866	5861	2254	3607
867	5704	2048	3656
868	5891	2213	3678
869	6181	2423	3758
870	5967	2277	3690
871	5746	2055	3691
872	5914	2203	3711
873	6024	2304	3720
874	5907	2158	3749
875	5830	2098	3732
876	6072	2276	3796
877	6188	2378	3810
878	6007	2197	3810
879	5851	2065	3786
880	6081	2272	3809
881	6130	2375	3755
882	6048	2259	3789
883	5850	2057	3793
884	6078	2274	3804
885	6229	2417	3812
886	5986	2185	3801
887	5929	2050	3879
888	6128	2152	3976
889	6242	2246	3996
890	6390	2316	4074
891	6199	2163	4036
892	6327	2285	4042
893	6488	2383	4105
894	6352	2217	4135
895	6245	2105	4140
896	6462	2267	4195
897	6529	2295	4234
898	6499	2244	4255
899	6287	2086	4201
900	6417	2261	4156
901	6463	2308	4155
902	6334	2185	4149
903	6368	2126	4242
904	6674	2394	4280
