index	original	background	difference
312	3309	2106	1203
313	3417	2237	1180
314	3453	2280	1173
315	3415	2195	1220
316	3430	2240	1190
317	3355	2184	1171
318	3304	2118	1186
319	3315	2118	1197
320	3372	2189	1183
321	3427	2236	1191
322	3443	2205	1238
323	3287	2113	1174
324	3332	2157	1175
325	3407	2204	1203
326	3318	2084	1234
327	3228	2043	1185
328	3455	2243	1212
329	3503	2318	1185
330	3351	2181	1170
331	3168	2031	1137
332	3440	2238	1202
333	4133	2790	1343
334	3720	2433	1287
335	3419	2197	1222
336	3650	2356	1294
337	3593	2323	1270
338	3407	2147	1260
339	3392	2142	1250
340	3464	2240	1224
341	3512	2279	1233
342	3495	2257	1238
343	3398	2169	1229
344	3424	2154	1270
345	3556	2262	1294
346	3611	2242	1369
347	3375	2060	1315
348	3324	2138	1186
349	3442	2195	1247
350	3443	2161	1282
351	3463	2173	1290
352	3688	2417	1271
353	3557	2332	1225
354	3312	2099	1213
355	3287	2095	1192
356	3490	2210	1280
357	3530	2248	1282
358	3440	2193	1247
359	3302	2052	1250
360	3411	2136	1275
361	3533	2230	1303
362	3484	2241	1243
363	3422	2138	1284
364	3416	2126	1290
365	3450	2155	1295
366	3342	2074	1268
367	3230	1984	1246
368	3523	2229	1294
369	3653	2346	1307
370	3517	2246	1271
371	3417	2164	1253
372	3552	2261	1291
373	3559	2278	1281
374	3483	2154	1329
375	3600	2184	1416
376	3620	2259	1361
377	3633	2302	1331
378	3578	2250	1328
379	3409	2097	1312
380	3571	2273	1298
381	3552	2282	1270
382	3512	2205	1307
383	3426	2076	1350
384	3613	2244	1369
385	3727	2311	1416
386	3587	2190	1397
387	3512	2158	1354
388	3696	2340	1356
389	3820	2421	1399
390	3571	2228	1343
391	3506	2169	1337
392	3682	2281	1401
393	3602	2201	1401
394	3473	2274	1199
395	3445	2171	1274
396	3484	2155	1329
397	3496	2205	1291
398	3477	2158	1319
399	3387	2077	1310
400	3600	2225	1375
401	3648	2282	1366
402	3458	2141	1317
403	3465	2110	1355
404	3809	2337	1472
405	3723	2301	1422
406	3778	2399	1379
407	3556	2211	1345
408	3651	2285	1366
409	3536	2216	1320
410	3410	2073	1337
411	3456	2121	1335
412	3511	2209	1302
