index	original	background	difference
-----------------------------------------------------
1	3049	2270	779
2	2825	2116	709
3	2718	2044	674
4	2785	2105	680
5	2742	2099	643
6	2938	2188	750
7	2990	2181	809
8	2939	2211	728
9	2861	2187	674
10	2718	2005	713
11	2653	1971	682
12	2792	2099	693
13	2925	2229	696
14	2976	2194	782
15	2819	2039	780
16	2947	2140	807
17	2935	2176	759
18	2825	2107	718
19	2629	1926	703
20	2751	2002	749
21	2963	2159	804
22	2866	2077	789
23	2816	2013	803
24	2870	2131	739
25	2881	2168	713
26	2802	2058	744
27	2620	1903	717
28	2656	1972	684
29	2787	2072	715
30	2889	2063	826
31	2851	1997	854
32	2921	2089	832
33	2885	2100	785
34	2769	2012	757
35	2879	2087	792
36	2972	2155	817
37	2903	2153	750
38	2826	2068	758
39	2687	1954	733
40	2741	2025	716
41	2858	2114	744
42	2739	1998	741
43	2706	1945	761
44	2841	2051	790
45	2989	2199	790
46	2979	2142	837
47	2849	2041	808
48	2845	2047	798
49	2948	2151	797
50	2983	2186	797
51	2984	2143	841
52	2961	2127	834
53	3056	2234	822
54	2838	2052	786
55	2604	1875	729
56	2852	2058	794
57	3131	2280	851
58	2885	2054	831
59	2699	1922	777
60	2903	2063	840
61	3095	2243	852
62	2997	2164	833
63	2793	2021	772
64	2857	2109	748
65	2991	2182	809
66	2934	2090	844
67	2893	1992	901
68	2942	2051	891
69	2863	2063	800
70	2807	1976	831
71	2893	2063	830
72	3208	2306	902
73	3116	2208	908
74	2887	2047	840
75	2731	1906	825
76	2888	2013	875
77	3005	2144	861
78	2912	2082	830
79	2882	2072	810
80	2973	2128	845
81	3077	2190	887
82	2833	2011	822
83	2817	2009	808
84	2935	2097	838
85	3023	2181	842
86	2906	2098	808
87	2788	2044	744
88	2897	2110	787
89	3044	2187	857
90	2944	2098	846
91	3113	2177	936
92	3216	2279	937
93	2984	2130	854
94	2869	2024	845
95	2775	1960	815
96	2986	2140	846
97	3156	2264	892
98	3030	2123	907
99	2894	2050	844
100	2917	2087	830
101	3029	2148	881
102	3020	2098	922
103	2948	2061	887
104	3154	2265	889
105	3227	2350	877
106	3125	2206	919
107	2977	2063	914
108	3020	2158	862
109	3132	2221	911
110	2962	2111	851
111	3094	2180	914
112	3137	2219	918
113	3034	2120	914
114	3029	2096	933
115	2952	2086	866
116	2963	2138	825
117	3148	2219	929
118	2906	2070	836
119	2855	1995	860
120	2949	2083	866
121	2981	2129	852
122	2964	2053	911
123	2836	1936	900
124	2860	2038	822
125	2980	2099	881
126	2941	2078	863
127	2985	2113	872
128	3327	2384	943
129	3280	2322	958
130	3036	2133	903
131	2873	2017	856
132	3150	2189	961
133	3157	2193	964
134	2929	1992	937
135	2869	2010	859
136	3058	2176	882
137	3181	2223	958
138	3089	2091	998
139	3053	2096	957
140	2992	2061	931
141	3008	2109	899
142	3106	2162	944
143	3050	2085	965
144	3109	2154	955
145	3076	2139	937
146	3118	2160	958
147	2999	2084	915
148	2996	2075	921
149	3186	2253	933
150	3139	2220	919
151	2955	2036	919
152	3198	2212	986
153	3278	2287	991
154	3263	2212	1051
155	3136	2156	980
156	3261	2290	971
157	3130	2200	930
158	2923	2042	881
159	2931	2020	911
160	3177	2178	999
161	3231	2231	1000
162	3075	2099	976
163	3075	2099	976
164	3270	2268	1002
165	3235	2255	980
166	3172	2151	1021
167	3102	2068	1034
168	3187	2150	1037
169	3207	2214	993
170	3076	2131	945
171	3116	2107	1009
172	3211	2198	1013
173	3260	2230	1030
174	3049	2057	992
175	3024	2050	974
176	3041	2112	929
177	3114	2157	957
178	3049	2075	974
179	3150	2075	1075
180	3375	2265	1110
181	3327	2267	1060
182	3265	2185	1080
183	2997	1994	1003
184	3060	2102	958
185	3152	2187	965
186	3045	2071	974
187	2958	1982	976
188	3058	2081	977
189	3245	2226	1019
190	3272	2222	1050
191	3246	2135	1111
192	3410	2245	1165
193	3320	2227	1093
194	3122	2107	1015
195	3105	2043	1062
196	3243	2188	1055
197	3314	2218	1096
198	3145	2093	1052
199	3296	2185	1111
200	3349	2236	1113
201	3258	2226	1032
202	3240	2182	1058
203	3125	2061	1064
204	3357	2264	1093
205	3367	2271	1096
206	3156	2110	1046
207	3072	2013	1059
208	3125	2062	1063
209	3366	2238	1128
210	3310	2182	1128
211	3118	2050	1068
212	3382	2293	1089
213	3329	2250	1079
214	3232	2096	1136
215	3105	2020	1085
216	3310	2237	1073
217	3416	2308	1108
218	3160	2053	1107
219	3233	2074	1159
220	3442	2330	1112
221	3414	2292	1122
222	3242	2151	1091
223	3174	2054	1120
224	3231	2148	1083
225	3502	2358	1144
226	3264	2141	1123
227	3244	2116	1128
228	3410	2261	1149
229	3465	2321	1144
230	3217	2141	1076
231	3144	2045	1099
232	3328	2205	1123
233	3641	2417	1224
234	3517	2271	1246
235	3250	2104	1146
236	3266	2137	1129
237	3348	2231	1117
238	3233	2143	1090
239	3196	2079	1117
240	3322	2193	1129
241	3582	2361	1221
242	3495	2238	1257
243	3466	2216	1250
244	3396	2226	1170
245	3301	2205	1096
246	3246	2139	1107
247	3263	2074	1189
248	3450	2233	1217
249	3548	2339	1209
250	3421	2195	1226
251	3179	2024	1155
252	3402	2227	1175
253	3397	2252	1145
254	3392	2209	1183
255	3413	2151	1262
256	3439	2214	1225
257	3441	2219	1222
258	3316	2049	1267
259	3262	2031	1231
260	3352	2137	1215
261	3405	2199	1206
262	3501	2243	1258
263	3377	2116	1261
264	3497	2250	1247
265	3409	2173	1236
266	3382	2120	1262
267	3290	2068	1222
268	3571	2285	1286
269	3616	2313	1303
270	3569	2231	1338
271	3636	2311	1325
272	3550	2253	1297
273	3383	2161	1222
274	3338	2123	1215
275	3483	2153	1330
276	3548	2200	1348
277	3435	2155	1280
278	3372	2098	1274
279	3333	2059	1274
280	3389	2124	1265
281	3397	2166	1231
282	3369	2114	1255
283	3367	2120	1247
284	3544	2281	1263
285	3629	2306	1323
286	3419	2075	1344
287	3287	1993	1294
288	3553	2218	1335
289	3757	2354	1403
290	3715	2285	1430
291	3414	2106	1308
292	3416	2144	1272
293	3534	2245	1289
294	3417	2115	1302
295	3385	2044	1341
296	3462	2161	1301
297	3462	2174	1288
298	3479	2122	1357
299	3440	2064	1376
300	3443	2160	1283
301	3459	2216	1243
302	3380	2076	1304
