index	original	background	difference
290	5432	2285	3147
291	5141	2106	3035
292	5161	2144	3017
293	5347	2245	3102
294	5188	2115	3073
295	5136	2044	3092
296	5199	2161	3038
297	5195	2174	3021
298	5200	2122	3078
299	5210	2064	3146
300	5195	2160	3035
301	5225	2216	3009
302	5191	2076	3115
303	5184	2073	3111
304	5274	2175	3099
305	5278	2206	3072
306	5266	2183	3083
307	5172	2109	3063
308	5306	2141	3165
309	5531	2356	3175
310	5242	2144	3098
311	5077	1992	3085
312	5234	2106	3128
313	5412	2237	3175
314	5482	2280	3202
315	5360	2195	3165
316	5381	2240	3141
317	5322	2184	3138
318	5287	2118	3169
319	5322	2118	3204
320	5340	2189	3151
321	5343	2236	3107
322	5425	2205	3220
323	5302	2113	3189
324	5268	2157	3111
325	5417	2204	3213
326	5376	2084	3292
327	5236	2043	3193
328	5403	2243	3160
329	5534	2318	3216
330	5413	2181	3232
331	5203	2031	3172
332	5506	2238	3268
333	6136	2790	3346
334	5630	2433	3197
335	5366	2197	3169
336	5605	2356	3249
337	5557	2323	3234
338	5359	2147	3212
339	5348	2142	3206
340	5401	2240	3161
341	5484	2279	3205
342	5523	2257	3266
343	5433	2169	3264
344	5426	2154	3272
345	5536	2262	3274
346	5496	2242	3254
347	5247	2060	3187
348	5331	2138	3193
349	5426	2195	3231
350	5454	2161	3293
351	5413	2173	3240
352	5661	2417	3244
353	5568	2332	3236
354	5261	2099	3162
355	5327	2095	3232
356	5503	2210	3293
357	5547	2248	3299
358	5531	2193	3338
359	5315	2052	3263
360	5392	2136	3256
361	5505	2230	3275
362	5466	2241	3225
363	5405	2138	3267
364	5400	2126	3274
365	5395	2155	3240
366	5329	2074	3255
367	5272	1984	3288
368	5559	2229	3330
369	5665	2346	3319
370	5529	2246	3283
371	5360	2164	3196
372	5566	2261	3305
373	5646	2278	3368
374	5474	2154	3320
375	5518	2184	3334
376	5562	2259	3303
377	5631	2302	3329
378	5584	2250	3334
379	5413	2097	3316
380	5600	2273	3327
381	5605	2282	3323
382	5577	2205	3372
383	5386	2076	3310
384	5593	2244	3349
385	5744	2311	3433
386	5590	2190	3400
387	5551	2158	3393
388	5715	2340	3375
389	5788	2421	3367
390	5618	2228	3390
391	5511	2169	3342
392	5687	2281	3406
393	5595	2201	3394
394	5571	2274	3297
395	5527	2171	3356
396	5474	2155	3319
397	5529	2205	3324
398	5488	2158	3330
399	5381	2077	3304
400	5624	2225	3399
401	5636	2282	3354
402	5428	2141	3287
403	5487	2110	3377
404	5837	2337	3500
405	5772	2301	3471
406	5858	2399	3459
