index	original	background	difference
-----------------------------------------------------
1	4401	2270	2131
2	4133	2116	2017
3	4063	2044	2019
4	4131	2105	2026
5	4114	2099	2015
6	4317	2188	2129
7	4399	2181	2218
8	4340	2211	2129
9	4252	2187	2065
10	4121	2005	2116
11	4027	1971	2056
12	4135	2099	2036
13	4265	2229	2036
14	4281	2194	2087
15	4080	2039	2041
16	4216	2140	2076
17	4249	2176	2073
18	4188	2107	2081
19	3971	1926	2045
20	4051	2002	2049
21	4271	2159	2112
22	4175	2077	2098
23	4096	2013	2083
24	4168	2131	2037
25	4260	2168	2092
26	4185	2058	2127
27	3953	1903	2050
28	4017	1972	2045
29	4111	2072	2039
30	4168	2063	2105
31	4146	1997	2149
32	4236	2089	2147
33	4230	2100	2130
34	4062	2012	2050
35	4197	2087	2110
36	4260	2155	2105
37	4176	2153	2023
38	4113	2068	2045
39	3991	1954	2037
40	4089	2025	2064
41	4205	2114	2091
42	4082	1998	2084
43	4043	1945	2098
44	4149	2051	2098
45	4305	2199	2106
46	4245	2142	2103
47	4107	2041	2066
48	4101	2047	2054
49	4275	2151	2124
50	4291	2186	2105
51	4278	2143	2135
52	4253	2127	2126
53	4414	2234	2180
54	4190	2052	2138
55	3934	1875	2059
56	4148	2058	2090
57	4462	2280	2182
58	4197	2054	2143
59	4030	1922	2108
60	4210	2063	2147
61	4382	2243	2139
62	4287	2164	2123
63	4124	2021	2103
64	4191	2109	2082
65	4333	2182	2151
66	4255	2090	2165
67	4198	1992	2206
68	4253	2051	2202
69	4182	2063	2119
70	4121	1976	2145
71	4245	2063	2182
72	4561	2306	2255
73	4413	2208	2205
74	4170	2047	2123
75	4068	1906	2162
76	4195	2013	2182
77	4296	2144	2152
78	4217	2082	2135
79	4251	2072	2179
80	4296	2128	2168
81	4404	2190	2214
82	4171	2011	2160
83	4187	2009	2178
84	4309	2097	2212
85	4380	2181	2199
86	4293	2098	2195
87	4207	2044	2163
88	4302	2110	2192
89	4391	2187	2204
90	4312	2098	2214
91	4472	2177	2295
92	4541	2279	2262
93	4305	2130	2175
94	4186	2024	2162
95	4187	1960	2227
96	4375	2140	2235
97	4462	2264	2198
98	4349	2123	2226
99	4282	2050	2232
100	4304	2087	2217
101	4425	2148	2277
102	4480	2098	2382
103	4399	2061	2338
104	4583	2265	2318
105	4670	2350	2320
106	4517	2206	2311
107	4374	2063	2311
108	4452	2158	2294
109	4582	2221	2361
110	4395	2111	2284
111	4524	2180	2344
112	4573	2219	2354
113	4465	2120	2345
114	4429	2096	2333
115	4371	2086	2285
116	4465	2138	2327
117	4573	2219	2354
118	4403	2070	2333
119	4338	1995	2343
120	4361	2083	2278
121	4429	2129	2300
122	4415	2053	2362
123	4278	1936	2342
124	4297	2038	2259
125	4390	2099	2291
126	4460	2078	2382
127	4478	2113	2365
128	4814	2384	2430
129	4687	2322	2365
130	4396	2133	2263
131	4352	2017	2335
132	4621	2189	2432
133	4580	2193	2387
134	4385	1992	2393
135	4409	2010	2399
136	4524	2176	2348
137	4605	2223	2382
138	4437	2091	2346
139	4473	2096	2377
140	4511	2061	2450
141	4568	2109	2459
142	4552	2162	2390
143	4491	2085	2406
144	4639	2154	2485
145	4638	2139	2499
146	4638	2160	2478
147	4526	2084	2442
148	4495	2075	2420
149	4673	2253	2420
150	4664	2220	2444
151	4475	2036	2439
152	4690	2212	2478
153	4762	2287	2475
154	4726	2212	2514
155	4637	2156	2481
156	4789	2290	2499
157	4666	2200	2466
158	4517	2042	2475
159	4458	2020	2438
160	4622	2178	2444
161	4660	2231	2429
162	4571	2099	2472
163	4583	2099	2484
164	4787	2268	2519
165	4755	2255	2500
166	4727	2151	2576
167	4610	2068	2542
168	4624	2150	2474
169	4697	2214	2483
170	4564	2131	2433
171	4669	2107	2562
172	4748	2198	2550
173	4716	2230	2486
174	4473	2057	2416
175	4550	2050	2500
176	4595	2112	2483
177	4668	2157	2511
178	4531	2075	2456
179	4568	2075	2493
180	4857	2265	2592
181	4787	2267	2520
182	4703	2185	2518
183	4513	1994	2519
184	4578	2102	2476
185	4697	2187	2510
186	4559	2071	2488
187	4516	1982	2534
188	4609	2081	2528
189	4734	2226	2508
190	4755	2222	2533
191	4788	2135	2653
192	4875	2245	2630
193	4822	2227	2595
194	4653	2107	2546
195	4571	2043	2528
196	4689	2188	2501
197	4766	2218	2548
198	4618	2093	2525
199	4815	2185	2630
200	4876	2236	2640
201	4804	2226	2578
202	4778	2182	2596
203	4649	2061	2588
204	4826	2264	2562
205	4818	2271	2547
206	4678	2110	2568
207	4617	2013	2604
208	4661	2062	2599
209	4864	2238	2626
210	4793	2182	2611
211	4633	2050	2583
212	4948	2293	2655
213	4855	2250	2605
214	4667	2096	2571
215	4596	2020	2576
216	4823	2237	2586
217	5003	2308	2695
218	4735	2053	2682
219	4773	2074	2699
220	4964	2330	2634
221	4904	2292	2612
222	4797	2151	2646
223	4733	2054	2679
224	4764	2148	2616
225	5049	2358	2691
226	4827	2141	2686
227	4731	2116	2615
228	4900	2261	2639
229	5007	2321	2686
230	4752	2141	2611
231	4645	2045	2600
232	4840	2205	2635
233	5161	2417	2744
234	5032	2271	2761
235	4819	2104	2715
236	4818	2137	2681
237	4885	2231	2654
238	4805	2143	2662
239	4801	2079	2722
240	4928	2193	2735
241	5201	2361	2840
242	5074	2238	2836
243	5049	2216	2833
244	4975	2226	2749
245	4862	2205	2657
246	4791	2139	2652
247	4813	2074	2739
248	4987	2233	2754
249	5118	2339	2779
250	4954	2195	2759
