index	original	background	difference
-----------------------------------------------------
1	3857	2270	1587
2	3646	2116	1530
3	3523	2044	1479
4	3569	2105	1464
5	3546	2099	1447
6	3747	2188	1559
7	3778	2181	1597
8	3812	2211	1601
9	3740	2187	1553
10	3580	2005	1575
11	3496	1971	1525
12	3564	2099	1465
13	3703	2229	1474
14	3765	2194	1571
15	3649	2039	1610
16	3746	2140	1606
17	3755	2176	1579
18	3710	2107	1603
19	3426	1926	1500
20	3539	2002	1537
21	3829	2159	1670
22	3708	2077	1631
23	3603	2013	1590
24	3670	2131	1539
25	3710	2168	1542
26	3688	2058	1630
27	3474	1903	1571
28	3429	1972	1457
29	3571	2072	1499
30	3680	2063	1617
31	3629	1997	1632
32	3682	2089	1593
33	3627	2100	1527
34	3545	2012	1533
35	3676	2087	1589
36	3759	2155	1604
37	3775	2153	1622
38	3662	2068	1594
39	3495	1954	1541
40	3534	2025	1509
41	3713	2114	1599
42	3599	1998	1601
43	3523	1945	1578
44	3653	2051	1602
45	3788	2199	1589
46	3749	2142	1607
47	3651	2041	1610
48	3633	2047	1586
49	3748	2151	1597
50	3842	2186	1656
51	3774	2143	1631
52	3758	2127	1631
53	3909	2234	1675
54	3732	2052	1680
55	3469	1875	1594
56	3666	2058	1608
57	3961	2280	1681
58	3746	2054	1692
59	3538	1922	1616
60	3715	2063	1652
61	3875	2243	1632
62	3808	2164	1644
63	3677	2021	1656
64	3700	2109	1591
65	3795	2182	1613
66	3724	2090	1634
67	3666	1992	1674
68	3749	2051	1698
69	3687	2063	1624
70	3627	1976	1651
71	3789	2063	1726
72	4088	2306	1782
73	3953	2208	1745
74	3668	2047	1621
75	3503	1906	1597
76	3665	2013	1652
77	3810	2144	1666
78	3736	2082	1654
79	3742	2072	1670
80	3792	2128	1664
81	3867	2190	1677
82	3656	2011	1645
83	3654	2009	1645
84	3811	2097	1714
85	3895	2181	1714
86	3753	2098	1655
87	3717	2044	1673
88	3838	2110	1728
89	3915	2187	1728
90	3832	2098	1734
91	4034	2177	1857
92	4092	2279	1813
93	3863	2130	1733
94	3736	2024	1712
95	3625	1960	1665
96	3829	2140	1689
97	4006	2264	1742
98	3880	2123	1757
99	3789	2050	1739
100	3760	2087	1673
101	3846	2148	1698
102	3870	2098	1772
