1	1788	0	1788
2	1785	0	1785
3	1813	0	1813
4	1804	0	1804
5	1761	0	1761
6	1774	0	1774
7	1816	0	1816
8	1831	0	1831
9	1796	0	1796
10	1755	0	1755
11	1781	0	1781
12	1787	0	1787
13	1759	0	1759
14	1782	0	1782
15	1807	0	1807
16	1837	0	1837
17	1871	0	1871
18	1876	0	1876
19	1839	0	1839
20	1803	0	1803
21	1805	0	1805
22	1818	0	1818
23	1843	0	1843
24	1830	0	1830
25	1816	0	1816
26	1833	0	1833
27	1810	0	1810
28	1830	0	1830
29	1824	0	1824
30	1835	0	1835
31	1854	0	1854
32	1855	0	1855
33	1822	0	1822
34	1815	0	1815
35	1834	0	1834
36	1827	0	1827
37	1822	0	1822
38	1837	0	1837
39	1844	0	1844
40	1853	0	1853
41	1832	0	1832
42	1848	0	1848
43	1878	0	1878
44	1849	0	1849
45	1876	0	1876
46	1867	0	1867
47	1831	0	1831
48	1850	0	1850
49	1872	0	1872
50	1893	0	1893
51	1910	0	1910
52	1893	0	1893
53	1893	0	1893
54	1932	0	1932
55	1855	0	1855
56	1870	0	1870
57	1875	0	1875
58	1887	0	1887
59	1881	0	1881
60	1914	0	1914
61	1954	0	1954
62	1947	0	1947
63	1912	0	1912
64	1899	0	1899
65	1915	0	1915
66	1923	0	1923
67	1907	0	1907
68	1912	0	1912
69	1931	0	1931
70	1920	0	1920
71	1940	0	1940
72	1942	0	1942
73	1941	0	1941
74	1955	0	1955
75	1929	0	1929
76	1943	0	1943
77	1938	0	1938
78	1948	0	1948
79	2008	0	2008
80	1975	0	1975
81	1958	0	1958
82	1963	0	1963
83	1944	0	1944
84	1949	0	1949
85	1966	0	1966
86	1975	0	1975
87	1978	0	1978
88	1957	0	1957
89	1958	0	1958
90	1972	0	1972
91	1986	0	1986
92	1987	0	1987
93	1947	0	1947
94	1929	0	1929
95	1963	0	1963
96	1978	0	1978
97	1980	0	1980
98	1993	0	1993
99	2012	0	2012
100	1980	0	1980
101	2007	0	2007
102	2001	0	2001
103	2003	0	2003
104	1997	0	1997
105	2006	0	2006
106	2015	0	2015
107	2035	0	2035
108	2042	0	2042
109	2016	0	2016
110	2003	0	2003
111	2016	0	2016
112	1996	0	1996
113	2013	0	2013
114	2019	0	2019
115	2043	0	2043
116	2006	0	2006
117	1990	0	1990
118	1971	0	1971
119	1973	0	1973
120	2022	0	2022
121	2043	0	2043
122	2058	0	2058
123	2063	0	2063
124	1989	0	1989
125	1973	0	1973
126	2027	0	2027
127	2050	0	2050
128	2080	0	2080
129	2059	0	2059
130	2026	0	2026
131	2007	0	2007
132	2004	0	2004
133	2038	0	2038
134	2058	0	2058
135	2035	0	2035
136	2057	0	2057
137	2049	0	2049
138	2036	0	2036
139	2033	0	2033
140	2009	0	2009
141	2011	0	2011
142	2060	0	2060
143	2101	0	2101
144	2081	0	2081
145	2070	0	2070
146	2056	0	2056
147	2036	0	2036
148	2027	0	2027
149	2048	0	2048
150	2071	0	2071
151	2063	0	2063
152	2074	0	2074
153	2055	0	2055
154	2042	0	2042
155	2070	0	2070
156	2097	0	2097
157	2097	0	2097
158	2098	0	2098
159	2079	0	2079
160	2058	0	2058
161	2110	0	2110
162	2124	0	2124
163	2117	0	2117
164	2096	0	2096
165	2109	0	2109
166	2134	0	2134
167	2115	0	2115
168	2122	0	2122
169	2126	0	2126
170	2128	0	2128
171	2100	0	2100
172	2137	0	2137
173	2142	0	2142
174	2157	0	2157
175	2162	0	2162
176	2125	0	2125
177	2148	0	2148
178	2175	0	2175
179	2194	0	2194
180	2214	0	2214
181	2195	0	2195
182	2204	0	2204
183	2173	0	2173
184	2183	0	2183
185	2164	0	2164
186	2168	0	2168
187	2199	0	2199
188	2213	0	2213
189	2202	0	2202
190	2127	0	2127
191	2164	0	2164
192	2190	0	2190
193	2170	0	2170
194	2169	0	2169
195	2213	0	2213
196	2197	0	2197
197	2187	0	2187
198	2245	0	2245
199	2238	0	2238
200	2217	0	2217
201	2215	0	2215
202	2218	0	2218
203	2225	0	2225
204	2235	0	2235
205	2207	0	2207
206	2226	0	2226
207	2229	0	2229
208	2236	0	2236
209	2270	0	2270
210	2295	0	2295
211	2260	0	2260
212	2248	0	2248
213	2269	0	2269
214	2266	0	2266
215	2318	0	2318
216	2318	0	2318
217	2294	0	2294
218	2297	0	2297
219	2342	0	2342
220	2323	0	2323
221	2309	0	2309
222	2319	0	2319
223	2279	0	2279
224	2299	0	2299
225	2316	0	2316
226	2351	0	2351
227	2342	0	2342
228	2312	0	2312
229	2281	0	2281
230	2299	0	2299
231	2330	0	2330
232	2404	0	2404
233	2378	0	2378
234	2368	0	2368
